=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.18 17:08:21 =~=~=~=~=~=~=~=~=~=~=~=
467622:  1 - Data: A4 0 0 72 1D 0 24 CE FF FF   RSSI: -78 CRC: OK
Dormir: 1
470442:  2 - Data: 84 0 0 2D 1D 0 63 39 FF FF   RSSI: -78 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:13:18
Estacion ID: 4
Temperatura: 22.28 ºC -- Humedad: 37.00
Dirección del viento: 9 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:13:18;22.28;37.00;0;9

Appending to file: /Estacion3_17_12_2023.csv
Message appended
---------------------- Estacion: 1 -- ID: 0
Dormir: 1
Dormir: 1
Dormir: 1
Dormir: 1
484543:  2 - Data: 6B ED 39 6F D1 63 CC A2 94 BD   RSSI: -102 CRC: ERROR
489349:  2 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -85 CRC: OK
Dormir: 1
491920:  3 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -85 CRC: OK
Dormir: 1
494490:  4 - Data: 60 0 D0 0 C3 0 B4 1C FF FF   RSSI: -85 CRC: OK
Dormir: 1
497059:  0 - Data: 80 0 D0 1F BB 0 D1 86 FF FF   RSSI: -85 CRC: OK
Dormir: 1
499628:  1 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -85 CRC: OK
Dormir: 1
502197:  2 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -85 CRC: OK
Dormir: 1
504765:  3 - Data: 40 0 D0 0 3 0 97 40 FF FF   RSSI: -85 CRC: OK
Dormir: 1
507334:  4 - Data: 80 0 D0 1F BB 0 D1 86 FF FF   RSSI: -85 CRC: OK
Dormir: 1
509904:  0 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -84 CRC: OK
Dormir: 1
512473:  1 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -85 CRC: OK
Dormir: 1
514480:  2 - Data: 94 0 0 0 5 0 37 F0 FF FF   RSSI: -78 CRC: OK
515042:  2 - Data: 90 0 D0 0 3 D E2 59 FF FF   RSSI: -85 CRC: OK
Dormir: 1
517049:  3 - Data: 84 0 0 2C FD 0 44 BB FF FF   RSSI: -78 CRC: OK
517610:  3 - Data: 80 0 D0 1F BB 0 D1 86 FF FF   RSSI: -85 CRC: OK
Dormir: 1
519618:  4 - Data: E4 0 0 80 5 0 49 36 FF FF   RSSI: -78 CRC: OK
