fecha;hora;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;fecha_hora;diferencia;diferencia_abs;diferencia_segundos;num_punto
2023-12-14;01:45:31;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:45:31;0 days 00:01:16;0 days 00:01:16;76.0;0
2023-12-14;01:46:08;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:46:08;0 days 00:00:37;0 days 00:00:37;37.0;0
2023-12-14;01:46:26;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:46:26;0 days 00:00:18;0 days 00:00:18;18.0;0
2023-12-14;01:47:04;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:47:04;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;01:47:19;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:47:19;0 days 00:00:15;0 days 00:00:15;15.0;0
2023-12-14;01:48:12;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:48:12;0 days 00:00:53;0 days 00:00:53;53.0;0
2023-12-14;01:49:01;19,86;61.0;0.0;9.0;E2_P1;2023-12-14 01:49:01;0 days 00:00:49;0 days 00:00:49;49.0;0
2023-12-14;01:49:53;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:49:53;0 days 00:00:52;0 days 00:00:52;52.0;0
2023-12-14;01:50:46;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:50:46;0 days 00:00:53;0 days 00:00:53;53.0;0
2023-12-14;01:51:46;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:51:46;0 days 00:01:00;0 days 00:01:00;60.0;0
2023-12-14;01:52:31;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:52:31;0 days 00:00:45;0 days 00:00:45;45.0;0
2023-12-14;01:53:38;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:53:38;0 days 00:01:07;0 days 00:01:07;67.0;0
2023-12-14;01:54:16;19,85;61.0;0.0;9.0;E2_P1;2023-12-14 01:54:16;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;01:54:37;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:54:37;0 days 00:00:21;0 days 00:00:21;21.0;0
2023-12-14;01:55:19;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:55:19;0 days 00:00:42;0 days 00:00:42;42.0;0
2023-12-14;01:55:45;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:55:45;0 days 00:00:26;0 days 00:00:26;26.0;0
2023-12-14;01:56:54;19,86;61.0;0.0;9.0;E2_P1;2023-12-14 01:56:54;0 days 00:01:09;0 days 00:01:09;69.0;0
2023-12-14;01:58:19;19,9;61.0;0.0;9.0;E2_P2;2023-12-14 01:58:19;0 days 00:01:25;0 days 00:01:25;85.0;0
2023-12-14;01:58:41;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:58:41;0 days 00:00:22;0 days 00:00:22;22.0;0
2023-12-14;01:59:16;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:59:16;0 days 00:00:35;0 days 00:00:35;35.0;0
2023-12-14;01:59:34;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:59:34;0 days 00:00:18;0 days 00:00:18;18.0;0
2023-12-14;02:00:12;19,91;61.0;0.0;9.0;E2_P2;2023-12-14 02:00:12;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;02:00:26;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 02:00:26;0 days 00:00:14;0 days 00:00:14;14.0;0
2023-12-14;02:01:11;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 02:01:11;0 days 00:00:45;0 days 00:00:45;45.0;0
2023-12-14;02:02:09;19,86;61.0;0.0;9.0;E2_P1;2023-12-14 02:02:09;0 days 00:00:58;0 days 00:00:58;58.0;0
2023-12-14;02:03:12;19,91;61.0;0.0;9.0;E2_P2;2023-12-14 02:03:12;0 days 00:01:03;0 days 00:01:03;63.0;0
